,id,from,to,priority,type,shape,length,speed,lane_id,num_lane,from_region,to_region,region
0,-100290485#1,1643958158,267860506,4,highway.residential,"9259.63,1964.11 9267.98,1963.12 9286.50,1960.92 9296.35,1961.22 9303.37,1963.88 9309.27,1969.04 9313.24,1977.66",70.57,13.89,-100290485#1_0,1,3,3,3
1,-100466664#5,1643958114,1643958109,3,highway.living_street,"9722.58,1743.67 9721.02,1741.01 9719.92,1737.75 9718.35,1731.20 9716.77,1727.42 9716.24,1726.70",30.29,2.78,-100466664#5_0,1,3,3,3
2,-100466670#0,320380190,268018328,4,highway.residential,"9718.17,2530.54 9741.67,2580.79 9746.84,2593.30 9754.40,2618.08 9754.68,2619.02",110.50,8.33,-100466670#0_0,1,2,2,2
3,-100466670#2,320380896,320380190,4,highway.residential,"9650.24,2382.71 9658.93,2400.64 9662.31,2407.86 9712.12,2517.45",155.48,8.33,-100466670#2_0,1,2,2,2
4,-103568376,618683961,cluster_1195819874_325115099,5,highway.unclassified,"5075.13,2151.57 5077.87,2143.15 5093.79,2106.37 5117.89,2060.98 5146.45,2004.06 5176.60,1939.23",255.11,8.33,-103568376_0,1,11,11,11
5,-10375797#1,429162172,670958628,7,highway.secondary,"10718.03,7498.00 10718.86,7470.80 10718.10,7439.97 10721.27,7421.43 10729.33,7408.08 10737.05,7398.58 10741.47,7395.45",111.58,13.89,-10375797#1_0,2,7,7,7
6,-10376030#1,88303244,88298201,7,highway.secondary,"10138.90,8198.11 10139.05,8197.98",95.99,13.89,-10376030#1_0,2,7,7,7
7,-10376030#3,279299971,88303244,7,highway.secondary,"9896.04,8368.41 9902.25,8364.96 9959.91,8329.96 10026.41,8289.64 10059.84,8263.95 10064.95,8260.00",213.89,13.89,-10376030#3_0,2,7,7,7
8,-10376030#4,cluster_3667868449_429162176,279299971,7,highway.secondary,"9710.86,8481.96 9780.51,8437.34 9883.26,8375.79",219.41,13.89,-10376030#4_0,2,6,7,-1
9,-10376604#1,288117701,88318764,6,highway.tertiary,"7398.32,7704.63 7383.71,7704.80 7377.03,7705.00",40.57,13.89,-10376604#1_0,1,8,8,8
