,id,x,y,type,region
0,1018942194,5147.41,9155.70,priority,0
1,1038173881,9614.78,5546.19,priority,9
2,1049747685,5739.60,8289.96,priority,8
3,1084362401,6901.72,8199.27,right_before_left,8
4,1084362427,6798.56,8201.77,right_before_left,8
5,1084362433,6844.81,8192.33,right_before_left,8
6,1129796172,3903.23,10011.55,priority,0
7,1129796184,3962.36,10007.00,priority,0
8,1129820635,3773.74,10071.71,priority,0
9,1129820639,3822.70,10083.77,priority,0
10,1129820647,3770.17,10135.76,priority,0
11,1129820649,3755.50,10087.71,priority,0
12,1129820652,3737.86,10103.18,priority,0
13,1129820665,3897.70,10174.57,priority,0
14,1141807880,6988.45,6800.30,priority,9
15,1144553319,4344.46,9481.22,priority,0
16,1144553378,4132.10,9462.02,priority,0
17,1145709338,3132.99,10200.97,priority,0
18,1145709343,3391.79,10341.93,priority,0
19,1145709375,3412.34,10317.60,priority,0
20,1145709378,3214.06,10141.19,priority,0
21,1145709384,3241.03,10213.56,priority,0
22,1145709416,3299.20,10280.93,priority,0
23,1195819731,5522.91,2023.26,priority,11
24,1195819770,3945.66,1455.66,priority,11
25,1195819841,5751.05,2116.94,priority,11
26,1195819869,5223.20,1898.64,priority,11
27,1195819893,5200.26,1865.65,priority,11
28,1195820009,4881.29,1783.41,priority,11
29,1195820086,5152.53,1874.17,priority,11
30,1195820237,5290.20,1939.64,priority,11
31,1202973282,6582.11,7992.68,priority,8
32,1202973290,6499.06,7822.24,priority,8
33,1202973292,6680.50,7969.68,priority,8
34,1202973576,7126.97,8314.48,priority,8
35,1202973672,6717.35,7948.22,priority,8
36,1202973685,6671.65,7973.34,priority,8
37,1202973715,6504.99,7829.99,priority,8
38,1202973734,9384.79,9938.53,priority,5
39,1203324300,6250.65,10199.43,priority,8
40,1203324310,5649.25,9612.65,priority,0
41,1210378651,9123.99,8142.91,priority,6
42,1210378655,9176.22,8095.10,priority,6
43,1210378663,9182.27,8028.64,priority,6
44,1210378665,9149.88,8057.18,priority,6
45,1210378679,9247.49,8143.52,priority,6
46,1210378700,9159.06,8220.61,priority,6
47,1210378714,9285.11,8231.34,priority,6
48,1210378716,9244.33,8239.67,priority,6
49,1210390048,8955.49,8299.93,priority,6
50,1210390049,8984.40,8274.00,priority,6
51,1210390051,9073.09,8195.39,priority,6
52,1210390055,9074.84,8405.29,priority,6
53,1211226054,9553.43,2011.47,priority,2
54,1231163469,3805.20,1414.67,traffic_light,11
55,1268672450,10310.15,8894.78,priority,7
56,1268672456,10236.87,8843.41,priority,7
57,1295503288,8987.61,1143.28,priority,3
58,1295522240,9811.86,1890.63,priority,3
59,1295522242,9827.22,1887.19,priority,3
60,1297053432,5819.83,8440.65,priority,8
61,1297057877,5792.13,8358.10,priority,8
62,1297057879,5809.22,8384.17,right_before_left,8
63,1297061197,5781.68,8342.39,priority,8
64,1299653918,9094.10,1344.94,priority,3
65,1310404106,9821.06,10006.67,priority,5
66,1314027369,5637.96,8947.96,priority,8
67,1314027390,5751.24,8323.55,priority,8
68,1314027433,5756.29,8311.42,right_before_left,8
69,1314071145,7636.42,9332.30,priority,8
70,1314071158,7629.37,9298.02,priority,8
71,1314092932,6814.28,6564.83,priority,9
72,1314093006,6795.57,6631.09,priority,9
73,1316121834,9572.71,1562.35,priority,3
74,1321588010,11007.81,2743.56,priority,2
75,1322487244,9209.57,8979.25,priority,5
76,1322785237,9659.55,7448.46,priority,7
77,1322785257,9442.27,7366.33,priority,7
78,1322785316,9611.34,7651.31,priority,7
79,1322785339,9490.11,7410.09,priority,7
80,1322785386,9385.60,7332.52,priority,7
81,1322785418,9713.52,7470.07,priority,7
82,1322785467,9584.86,7503.35,priority,7
83,1322785502,9363.15,7410.72,priority,7
84,1322785509,9546.39,7424.24,priority,7
85,1322785610,9402.77,7344.71,right_before_left,7
86,1323035666,11252.29,3162.37,priority,2
87,1323049146,10999.78,2724.77,priority,2
88,1326614958,9455.72,2008.23,priority,3
89,1336006959,9102.52,5030.50,priority,9
90,1336052722,6387.49,4985.87,priority,1
91,1364158289,7363.97,6808.16,right_before_left,9
92,1364158292,7355.06,6838.14,right_before_left,9
93,1364158301,7431.75,6874.71,priority,9
94,1368812600,3498.80,9993.91,priority,0
95,1368812602,3468.44,10043.58,priority,0
96,1371671915,7340.29,6862.73,priority,9
97,1371978911,8796.23,8006.56,priority,6
98,1410808656,11464.95,8242.58,priority,7
99,1412973638,4661.65,8578.26,priority,1
100,1412973642,4712.74,8635.42,priority,1
101,1412974151,4562.31,8595.94,priority,1
102,1415808118,9678.71,3654.33,priority,4
103,1415808120,9689.55,3685.39,priority,4
104,1416633518,9558.81,3129.37,right_before_left,4
105,1419490247,10028.44,5362.28,priority,9
106,1419490248,10010.53,5417.84,priority,9
107,1419490249,10065.33,5435.51,priority,9
108,1419490252,9917.08,5442.25,priority,9
109,1419490256,9993.19,5469.70,priority,9
110,1419490258,10046.80,5489.82,priority,9
111,1419490259,9980.98,5504.31,priority,9
112,1419490261,9980.62,5533.97,priority,9
113,1419490262,10016.97,5545.19,priority,9
114,1419490264,9893.79,5607.11,priority,9
115,1419490266,9948.81,5626.78,priority,9
116,1419490267,9882.89,5639.00,priority,9
117,1419490270,9875.47,5660.51,priority,9
118,1419490272,9985.98,5673.82,priority,9
119,1419490273,9975.63,5703.98,priority,9
120,1419490274,9941.74,5816.70,priority,9
121,1428186032,3469.16,10196.03,priority,0
122,1428186038,3393.68,10232.70,priority,0
123,1428186041,3443.44,10229.07,priority,0
124,1428186043,3382.13,10242.49,priority,0
125,1428186045,3388.35,10244.68,priority,0
126,1428186047,3511.11,10242.34,priority,0
127,1428186052,3497.40,10249.89,priority,0
128,1428186053,3428.65,10261.43,priority,0
129,1428186054,3461.74,10275.85,priority,0
130,1465033574,7489.66,3204.35,priority,4
131,1487726582,10440.92,8695.08,priority,7
132,1493365628,8521.76,1678.82,priority,3
133,1493365637,9333.18,1492.05,priority,3
134,1511279122,4719.05,8553.45,priority,1
135,1527036629,9549.39,1567.15,priority,3
136,1540020122,6665.91,8246.42,right_before_left,8
137,1540020139,6504.91,8234.75,priority,8
138,1540020144,6559.54,8244.25,right_before_left,8
139,1540020146,6613.22,8245.36,right_before_left,8
140,1540020150,6666.49,8288.54,priority,8
141,1540020153,6558.47,8284.36,priority,8
142,1540020157,6612.77,8284.83,priority,8
143,1545224874,8540.08,7789.81,priority,6
144,1545224893,8544.25,7807.25,priority,6
145,1545534366,9728.65,9096.24,right_before_left,5
146,1545534382,9564.03,9234.26,priority,5
147,1545534387,9762.36,9292.30,priority,5
148,1545562621,9938.15,9468.71,priority,5
149,1545562623,9756.52,9479.13,priority,5
150,1545562624,10122.55,9471.29,priority,5
151,1545562672,10098.51,9862.22,priority,5
152,1545573112,9594.38,8866.29,right_before_left,5
153,1545573113,9608.23,8878.53,priority,5
154,1545573114,9388.62,8909.50,priority,5
155,1545573126,9700.88,9761.83,priority,5
156,1545597012,9261.80,7996.35,priority,6
157,1545597076,8767.99,8405.06,priority,6
158,1545597091,9109.00,10137.35,traffic_light,5
